place_id,name,formatted_address,city,state,postal_code,phone_national,phone_international,website,lat,lng,types
ChIJpXMSt6tZzpQRfXVteB8wnI4,Droga Vegetal (DV Naturais),"Praça Dr. João Mendes, 43 - Sé, São Paulo - SP, 01501-001, Brazil",São Paulo,SP,01501-001,(11) 3107-4838,+55 11 3107-4838,,-23.551558,-46.634935999999996,drugstore|pharmacy|grocery_store|food_store|health|food|store|point_of_interest|establishment
ChIJqagqhElYzpQR0NFzkoeS80M,Farmalisé - Consolação,"R. da Consolação, 835 - Consolação, São Paulo - SP, 01302-000, Brazil",São Paulo,SP,01302-000,(11) 3259-8565,+55 11 3259-8565,http://farmalise.com.br/,-23.548241599999997,-46.6492608,drugstore|pharmacy|health|store|point_of_interest|establishment
ChIJq0e-4K1ZzpQRhKGF21oMJuw,Drogaria Central 2,"R. Santo Amaro, 572 - Bela Vista, São Paulo - SP, 01315-000, Brazil",São Paulo,SP,01315-000,(11) 93071-4771,+55 11 93071-4771,,-23.554783699999998,-46.6404123,drugstore|pharmacy|health|store|point_of_interest|establishment
ChIJsyvcHF5ZzpQRxzrfA--GCL0,Ultrafarma - Unidade Liberdade,"R. da Glória, 174 - Liberdade, São Paulo - SP, 01510-000, Brazil",São Paulo,SP,01510-000,(11) 95649-5458,+55 11 95649-5458,,-23.554786,-46.6345429,drugstore|pharmacy|health|store|point_of_interest|establishment
ChIJJ0JYWEhYzpQRN3q0LfWZpWE,Farma & Cia,"R. Maj. Sertório, 478 - Vila Buarque, São Paulo - SP, 01222-000, Brazil",São Paulo,SP,01222-000,(11) 3333-6636,+55 11 3333-6636,http://www.farmaecia.com.br/,-23.545292500000002,-46.648750799999995,drugstore|pharmacy|point_of_interest|store|health|establishment
ChIJsZyPsrxZzpQR2pqYRtv189E,Farmais - Maestro Cardim,"R. Maestro Cardim, 479 - Bela Vista, São Paulo - SP, 01323-000, Brazil",São Paulo,SP,01323-000,(11) 3289-0219,+55 11 3289-0219,http://www.farmais.com.br/,-23.565195,-46.641317,pharmacy|drugstore|health|store|point_of_interest|establishment
ChIJJaz5UK1ZzpQR5jFl1ejVSK4,Interativa Farma,"Viaduto Jacareí, 159 - Bela Vista, São Paulo - SP, 01319-020, Brazil",São Paulo,SP,01319-020,(11) 3112-8332,+55 11 3112-8332,,-23.550924,-46.6419706,drugstore|health|store|point_of_interest|establishment
ChIJEbS3t6tZzpQRcqrCOLvvHbk,Farma Conde,"Praça Dr. João Mendes, 19 - Centro Histórico de São Paulo, São Paulo - SP, 01501-001, Brazil",São Paulo,SP,01501-001,(11) 3101-7798,+55 11 3101-7798,http://www.farmaconde.com.br/,-23.5514452,-46.6351106,pharmacy|drugstore|health|store|point_of_interest|establishment
ChIJT3dxhqBZzpQR5aszR0C_pTA,Drogaria aclimafarma ltda,"R. Conselheiro Furtado, 1213 - Liberdade, São Paulo - SP, 01511-000, Brazil",São Paulo,SP,01511-000,(11) 3275-0394,+55 11 3275-0394,https://www.instagram.com/drogariaaclimafarma/,-23.563747100000004,-46.6323547,pharmacy|drugstore|health|store|point_of_interest|establishment
ChIJCa9U60pYzpQR8PMkeUfZ9yQ,Droga Raia,"RUA FREI CANECA, 462 - 466 Esquina - R. Dona Antônia de Queirós, 38 - e 40 - Consolação, São Paulo - SP, 01307-000, Brazil",São Paulo,SP,01307-000,(11) 97248-2087,+55 11 97248-2087,,-23.5529704,-46.6519798,pharmacy|health|store|point_of_interest|establishment
ChIJ8T7lpLRZzpQREoTdFPY8vNo,Drugstore St. Judas Tadeu,"Atendimento on-line Via whatsap (1R - R. Treze de Maio, 27 - Bela Vista, São Paulo - SP, 01327-000, Brazil",São Paulo,SP,01327-000,(11) 91563-1493,+55 11 91563-1493,,-23.5532677,-46.6468194,drugstore|pharmacy|health|store|point_of_interest|establishment
ChIJpVn4Zr9ZzpQRZukiwDOd-Kg,Drogasil,"Av. Brigadeiro Luís Antônio, 767 - Bela Vista, São Paulo - SP, 01317-001, Brazil",São Paulo,SP,01317-001,(11) 99802-9050,+55 11 99802-9050,,-23.556887099999997,-46.6399198,pharmacy|point_of_interest|store|health|establishment
ChIJWTRZNU1YzpQRmLrn0uDUbzI,Drogasil,"R. Santo Antônio, 459 - Loja 3 - Bela Vista, São Paulo - SP, 01314-000, Brazil",São Paulo,SP,01314-000,(11) 99627-4672,+55 11 99627-4672,,-23.551014199999997,-46.6427914,pharmacy|health|store|point_of_interest|establishment
ChIJFVqf4ahZzpQRVrrSh-9Ayqg,Drugstore Liberdade Drogaria E Perfumaria Ltda,"R. Galvão Bueno, 22 - Liberdade, São Paulo - SP, 01506-030, Brazil",São Paulo,SP,01506-030,,,,-23.5557788,-46.6354009,drugstore|pharmacy|health|store|point_of_interest|establishment
ChIJt8u1eO1ZzpQRAr2f2GWd_eY,Drogaria Sao Paulo,"R. Maestro Cardim, 297 - Liberdade, São Paulo - SP, 01323-000, Brazil",São Paulo,SP,01323-000,(11) 99862-9746,+55 11 99862-9746,https://www.drogariasaopaulo.com.br/,-23.563589699999998,-46.6409257,pharmacy|drugstore|health|store|point_of_interest|establishment
ChIJFa2BsbJZzpQREY90NKMZZ3g,Farma & Cia,"Viaduto Jacareí, 159 - Bela Vista, São Paulo - SP, 01319-020, Brazil",São Paulo,SP,01319-020,(11) 3107-7780,+55 11 3107-7780,http://www.farmaecia.com.br/,-23.550870099999997,-46.641896599999995,pharmacy|clothing_store|health|store|point_of_interest|establishment
ChIJmTSE5hmzymkRmKzpmosYmqM,Eletricista do Bairro,"R. Alecrim, 769 - Vila Kosmos, Rio de Janeiro - RJ, 21220-050, Brazil",Rio de Janeiro,RJ,21220-050,(21) 98909-4393,+55 21 98909-4393,http://www.eletricistadobairro.com.br/,-22.855721799999998,-43.305147999999996,electrician|point_of_interest|establishment
ChIJzUZ3nibVmwARl9bK8wdIH2c,Carlos eletricista & bombeiro hidráulico,"Rua figuereido de Magalhães - Av. Nossa Sra. de Copacabana - Copacabana, Rio de Janeiro - RJ, 22031-012, Brazil",Rio de Janeiro,RJ,22031-012,(21) 99682-3206,+55 21 99682-3206,,-22.9680134,-43.18791470000001,electrician|point_of_interest|establishment
ChIJzyY3gGV9mQARluOKzoQPA6U,Eletricista Rio de Janeiro - Técnico Muka Eletrodiver,"Av. Maracanã, 987 - Tijuca, Rio de Janeiro - RJ, 20511-000, Brazil",Rio de Janeiro,RJ,20511-000,,,,-22.9218629,-43.2356409,electrician|point_of_interest|establishment
ChIJjw6Ph3xvmQARmSY210dZqaM,"GABRIEL ROBERTO ELETRICISTA( reparos e manutenção elétrica)Tijuca, vila Isabel, Grajau, Maracanã","Praça Varnhagem, 9 - Tijuca, Rio de Janeiro - RJ, 20511-020, Brazil",Rio de Janeiro,RJ,20511-020,,,,-22.918936799999997,-43.2348226,electrician|point_of_interest|establishment
ChIJA4RqEHJlmQARKHtkfAZfgn4,Reais Soluções Refrigeração e Serviços Elétricos Ltda,"Av. Mal. Câmara, 160 - Centro, Rio de Janeiro - RJ, 20020-907, Brazil",Rio de Janeiro,RJ,20020-907,(21) 98529-0845,+55 21 98529-0845,http://www.reaissolucoes.com.br/,-22.909416099999998,-43.1692952,electrician|point_of_interest|establishment
