place_id,name,formatted_address,city,state,postal_code,phone_national,phone_international,website,lat,lng,types
ChIJucjL3Ex_mQARxHhau3BoBBs,Eletricista predial e residencial serviços reparos manutenção 24h Anjos,"Rua Benjamin Constant, 149 - Glória, Rio de Janeiro - RJ, 20241-150, Brazil",Rio de Janeiro,RJ,20241-150,(21) 98114-5001,+55 21 98114-5001,https://g.page/EletricistaAnjos?gm,-22.921682800000003,-43.181771,electrician|point_of_interest|establishment
ChIJuff4dXJ_mQARfzZq0gIJYv4,Instalador eletrico,"R. Primeiro de Março - Centro, Rio de Janeiro - RJ, 20010-000, Brazil",Rio de Janeiro,RJ,20010-000,(21) 93619-1976,+55 21 93619-1976,http://licao1687mal.blogspot.com/,-22.9012879,-43.1764083,electrician|point_of_interest|establishment
ChIJmYQKoQw85agRKslj_Iew58I,WS Eletricista Predial e Residencial,"R. Dois de Dezembro, 43 - Flamengo, Rio de Janeiro - RJ, 22220-040, Brazil",Rio de Janeiro,RJ,22220-040,(21) 98313-5777,+55 21 98313-5777,https://w.app/qb9ao8,-22.9301382,-43.1759783,electrician|point_of_interest|establishment
ChIJzWVhja19mQARaroOgvS9QpA,SMARF ELÉTRICA ME.,"Rua Guttemberg Maiorano, 28 - Centro, Rio de Janeiro - RJ, 20771-130, Brazil",Rio de Janeiro,RJ,20771-130,(21) 98343-4601,+55 21 98343-4601,,-22.912064900000004,-43.1739968,electrician|point_of_interest|establishment
ChIJx5nUMmh-mQARpq6CX_NvOdw,Eletricista Rio de janeiro Credenciado,"Rua do matoso, 6 cob - Praça da Bandeira, Rio de Janeiro - RJ, 20270-132, Brazil",Rio de Janeiro,RJ,20270-132,(21) 99622-0965,+55 21 99622-0965,https://www.oliveiraeletricista.com.br/,-22.911476,-43.2137388,electrician|point_of_interest|establishment
ChIJI4mFw310mQAR3ITVpMMVfxY,Eletritex Serviços,"R. V.de de Inhaúma, 1215 - Centro, Rio de Janeiro - RJ, 20091-007, Brazil",Rio de Janeiro,RJ,20091-007,(21) 96492-2942,+55 21 96492-2942,http://eletritex.ueniweb.com/,-22.8999055,-43.1805801,electrician|point_of_interest|establishment
ChIJ72CBR79_mQAR0etSBjWOQfs,JP Instalações Elétricas,"Rua Tadeu Kosciusco, 41 - Centro, Rio de Janeiro - RJ, 20230-050, Brazil",Rio de Janeiro,RJ,20230-050,(21) 99649-4662,+55 21 99649-4662,https://jpinstalacoeseletricas.com.br/,-22.914351099999998,-43.1881504,electrician|point_of_interest|establishment
ChIJ2zoXT7VzmQARa8N6-oMuab4,Eletricista em Copacabana,"Copacabana, Rio de Janeiro - State of Rio de Janeiro, 20031-001, Brazil",Rio de Janeiro,RJ,20031-001,(21) 97639-3730,+55 21 97639-3730,,-22.9694833,-43.186786,electrician|fire_station|government_office|point_of_interest|establishment
ChIJAQB0rWh_mQAR_2vlb9OZccg,Fabrício Mendonça Eletrotécnico Ltda,"Av. Gomes Freire, 176 - sala 706 - Centro, Rio de Janeiro - RJ, 20231-013, Brazil",Rio de Janeiro,RJ,20231-013,(21) 2221-4534,+55 21 2221-4534,http://www.fabriciomendonca.com.br/,-22.90852,-43.184951000000005,electrician|telecommunications_service_provider|point_of_interest|consultant|establishment
ChIJAQCQPFp_mQAR0zcWDoXSS58,Eletric Star Serviços Especializados,"R. Amoroso Lima, 100 - Cidade Nova, Rio de Janeiro - RJ, 20211-120, Brazil",Rio de Janeiro,RJ,20211-120,(21) 99192-9322,+55 21 99192-9322,https://engemar.com.br/,-22.9099796,-43.2022875,electrician|point_of_interest|establishment
ChIJlz5lmQh_mQARum4NVi8QCjc,Eletricista Eletro Augusto,"Rua Benjamin Constant, 61 - Glória, Rio de Janeiro - RJ, 20241-150, Brazil",Rio de Janeiro,RJ,20241-150,(21) 99696-2256,+55 21 99696-2256,,-22.9208636,-43.178916199999996,electrician|point_of_interest|establishment
ChIJ2b9xdKV9mQARI04hAVviah4,Eletricista Predial,"R. Voluntários da Pátria, 190 - Botafogo, Rio de Janeiro - RJ, 22270-012, Brazil",Rio de Janeiro,RJ,22270-012,(21) 98852-1899,+55 21 98852-1899,https://www.vibreeletrica.com/,-22.952504899999997,-43.1884005,electrician|point_of_interest|establishment
ChIJDY0TbVF_mQARrpPOtxck_PU,Elétrica Eficaz Serviços Elétricos e de Climatização,"R. Pedro Ernesto, 97 - Gamboa, Rio de Janeiro - RJ, 20220-350, Brazil",Rio de Janeiro,RJ,20220-350,(21) 98061-8840,+55 21 98061-8840,http://www.eletricaeficaz.com/,-22.896540899999998,-43.194866399999995,electrician|general_contractor|point_of_interest|establishment
ChIJ49He2i3lmwARmVWv-xch3OE,RC INSTALAÇÕES ELÉTRICA E AUTOMAÇÃO,"Av. Rio Branco, Nº 81 - Centro, Rio de Janeiro - RJ, 23585-470, Brazil",Rio de Janeiro,RJ,23585-470,(21) 97042-3290,+55 21 97042-3290,,-22.901493700000003,-43.178598699999995,electrician|point_of_interest|establishment
ChIJS1rP-TWBmQAR5JkCAA8yk8M,Cape Serviços e Consultoria,"Av. Mal. Câmara, 160 - sala 1107 - Centro, Rio de Janeiro - RJ, 20020-907, Brazil",Rio de Janeiro,RJ,20020-907,(21) 96978-3020,+55 21 96978-3020,https://www.instagram.com/grupocape,-22.909589699999998,-43.1691335,electrician|general_contractor|point_of_interest|establishment
ChIJ-zyYoq5_mQARg89P4KmWcvI,Cristiano eletricista predial e residencial,"R. Cap. Félix, 110 - Benfica, Rio de Janeiro - RJ, 20920-310, Brazil",Rio de Janeiro,RJ,20920-310,(21) 96568-8232,+55 21 96568-8232,https://www.instagram.com/cristiano_eletricista_rj/profilecard/?igsh=MW9uM29qd3RpNzF1MA==,-22.894733199999997,-43.236612,electrician|point_of_interest|establishment
ChIJ21578YR_mQARRKhicP_wAlU,Eletricista JRM Instalações Elétricas,"R. das Laranjeiras, 336 - Loja 68 - Laranjeiras, Rio de Janeiro - RJ, 22240-003, Brazil",Rio de Janeiro,RJ,22240-003,(21) 97104-3770,+55 21 97104-3770,http://www.solucoeseletricas.com.br/,-22.9354528,-43.189613099999995,electrician|point_of_interest|establishment
ChIJv_iDrEd_mQARvr7a_QE43uo,Welton eletrica,"R. Teófilo Otoni, 89 - Centro, Rio de Janeiro - RJ, 20090-080, Brazil",Rio de Janeiro,RJ,20090-080,(21) 98822-1114,+55 21 98822-1114,,-22.9006407,-43.180044599999995,electrician|point_of_interest|establishment
ChIJTWQt80NnmQARMxwilNnpoUo,ELETRICISTA E HIDRÁULICO 24 HORAS,"R. Sacadura Cabral, 217 - Centro, Rio de Janeiro - RJ, 20221-160, Brazil",Rio de Janeiro,RJ,20221-160,(21) 97714-4441,+55 21 97714-4441,https://24hsosinstalacoes.com.br/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=2240873638602152427,-22.8973469,-43.1893105,electrician|painter|plumber|general_contractor|point_of_interest|establishment
